company,rank,rank_change,revenue,revenue_change,profit,profit_change,assets,employees,industry,sector,country,city,state,newcomer,ceo_founder,ceo_woman,profitable,years_on_global_500_list,previous_rank,prev_rank,CEO,Website,Ticker,Market_Cap
Marubeni,165,8.0,59735.2,-4.9,2125.7,,62739.2,49265,Trading,Wholesalers,Japan,Tokyo,,no,,no,yes,27,173.0,,Masumi Kakinoki,https://www.marubeni.com,MARUY,14692
ENEOS Holdings,166,-43.0,59540.0,-21.6,1075.4,,72864.5,40753,Petroleum Refining,Energy,Japan,Tokyo,,no,,no,yes,27,123.0,,Tsutomu Sugimori,https://www.hd.eneos.co.jp,JXHLY,13189
Toyota Tsusho,167,10.0,59517.1,-3.3,1269.7,1.8,47269.5,64402,Trading,Wholesalers,Japan,Nagoya,,no,,no,yes,13,177.0,,Ichiro Kashitani,https://www.toyota-tsusho.com,TYHOF,16433
Zurich Insurance Group,168,-29.0,59001.0,-17.8,3834.0,-7.5,439299,52930,Insurance: Property and Casualty (Stock),Financials,Switzerland,Zurich,,no,,no,yes,27,139.0,,Mario Greco,https://www.zurich.com,ZURVY,71500
Manulife Financial,169,12.0,58840.4,-1.9,4377.9,3.7,691283.1,37000,"Insurance: Life, Health (stock)",Financials,Canada,"Toronto, Ontario",,no,,no,yes,19,181.0,,Roy Gori,https://www.manulife.com,MFC,37124
Wuchan Zhongda Group,170,40.0,58545.7,12.7,397.9,0.6,16345.2,18549,Trading,Wholesalers,China,Hangzhou,,no,,no,yes,11,210.0,,Wang Tingge,https://www.wzgroup.cn,,5139
Xiamen ITG Holding Group,171,113.0,58279.0,36.2,285.8,583.8,23533.5,21374,Trading,Wholesalers,China,Xiamen,,no,,no,yes,5,284.0,,Xu Xiaoxi,https://www.itgholding.com.cn,,
Aegon,172,-48.0,58211.1,-22.7,-166.4,-112,543139.6,22322,"Insurance: Life, Health (stock)",Financials,Netherlands,The Hague,,no,,no,no,25,124.0,,Lard Friese,https://www.aegon.com,AEG,8739
Boeing,173,-52.0,58158.0,-24,-11873.0,,152136,141000,Aerospace & Defense,Aerospace & Defense,U.S.,Chicago,Illinois,no,,no,no,27,121.0,,David L. Calhoun,https://www.boeing.com,BA,129167
China Poly Group,174,17.0,58072.3,1.6,1949.4,-4,240687.3,106403,Real estate,Financials,China,Beijing,,no,,no,yes,7,191.0,,Zhang Zhengao,https://www.poly.com.cn,,
